Sales order #,Amount,Check #,Date
91089185,38.16,16328,3/11/2020
91076970,64.66,16328,3/11/2020
91079382,64.66,16328,3/11/2020
91085473,64.66,16328,3/11/2020
91081153,77.38,16328,3/11/2020
91077100,95.4,16328,3/11/2020
91081861,111.3,16328,3/11/2020
91082456,111.3,16328,3/11/2020
91083055,111.3,16328,3/11/2020
91086986,111.3,16328,3/11/2020
91072256,143.1,16328,3/11/2020
91079559,169.6,16328,3/11/2020
91086299,190.8,16328,3/11/2020
91083159,254.4,16328,3/11/2020
91081313,302.1,16328,3/11/2020
91087163,316.94,16328,3/11/2020
91048835,323.3,16328,3/11/2020
91077711,401.74,16328,3/11/2020
91080628,436.72,16328,3/11/2020
91080230,825.74,16328,3/11/2020
91080065,884.04,16328,3/11/2020
91077388,2001.28,16328,3/11/2020
